username,cheating,cpl_1,cpl_2,cpl_3,cpl_4,cpl_5,cpl_6,cpl_7,cpl_8,cpl_9,cpl_10,cpl_11,cpl_12,cpl_13,cpl_14,cpl_15,cpl_16,cpl_17,cpl_18,cpl_19,cpl_20
damm1t,1,0.0,2.0,6.0,2.0,498.0,0.0,343.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,12.0,62.0,124.0,0.0
diegoantonio123,1,53.0,3.0,189.0,107.0,37.0,4.0,0.0,47.0,30.0,19.0,20.0,7.0,20.0,21.0,0.0,0.0,0.0,21.0,100.0,0.0
do_0m,1,17.0,39.0,0.0,9.0,1.0,47.0,0.0,17.0,24.0,6.0,16.0,9.0,8.0,22.0,171.0,0.0,17.0,6.0,0.0,0.0
leparrain2016,0,38.0,118.0,35.0,13.0,0.0,9.0,11.0,4.0,11.0,0.0,23.0,7.0,2.0,22.0,41.0,0.0,437.0,0.0,500.0,500.0
dragonite156,1,58.0,26.0,71.0,0.0,0.0,30.0,3.0,0.0,5.0,0.0,60.0,38.0,37.0,25.0,17.0,0.0,14.0,7.0,50.0,0.0
zukso,1,0.0,56.0,0.0,94.0,59.0,0.0,69.0,0.0,0.0,175.0,24.0,133.0,4.0,376.0,21.0,109.0,20.0,0.0,11.0,63.0
pokjoz,1,36.0,24.0,114.0,0.0,0.0,3.0,0.0,13.0,58.0,6.0,28.0,10.0,6.0,70.0,135.0,8.0,12.0,36.0,0.0,0.0
lolrusrs,1,0.0,0.0,154.0,6.0,26.0,27.0,9.0,14.0,59.0,0.0,11.0,172.0,0.0,0.0,25.0,0.0,6.0,225.0,0.0,73.0
marcosales,0,17.0,20.0,82.0,0.0,0.0,60.0,25.0,179.0,0.0,39.0,4.0,104.0,0.0,65.0,162.0,6.0,0.0,0.0,0.0,5.0
oficina,1,47.0,16.0,0.0,2.0,4.0,0.0,0.0,13.0,29.0,27.0,25.0,86.0,33.0,0.0,0.0,31.0,0.0,37.0,0.0,0.0
zringsalah,1,8.0,35.0,2.0,0.0,118.0,500.0,34.0,0.0,85.0,28.0,31.0,0.0,322.0,183.0,10.0,4.0,174.0,63.0,0.0,59.0
wangle,1,82.0,33.0,35.0,0.0,3.0,6.0,17.0,0.0,65.0,102.0,118.0,16.0,36.0,0.0,37.0,0.0,0.0,24.0,0.0,46.0
gasponi,0,6.0,44.0,0.0,22.0,0.0,32.0,49.0,87.0,20.0,154.0,426.0,8.0,30.0,200.0,33.0,36.0,18.0,126.0,0.0,31.0
rhythmrug,1,15.0,71.0,10.0,13.0,6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,19.0,9.0,16.0,500.0,500.0
mecocuk,1,2.0,0.0,0.0,0.0,10.0,17.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,33.0
drjelic,0,5.0,187.0,44.0,57.0,58.0,16.0,0.0,76.0,0.0,0.0,78.0,12.0,32.0,0.0,0.0,10.0,170.0,38.0,169.0,90.0
do_0m,1,36.0,0.0,0.0,64.0,17.0,0.0,27.0,3.0,60.0,0.0,0.0,0.0,24.0,27.0,16.0,77.0,84.0,92.0,95.0,0.0
laurab02,1,5.0,57.0,0.0,0.0,0.0,3.0,34.0,2.0,18.0,20.0,82.0,109.0,129.0,144.0,47.0,0.0,14.0,0.0,1.0,0.0
discipulo12,1,0.0,89.0,53.0,110.0,4.0,6.0,45.0,183.0,360.0,0.0,376.0,26.0,0.0,9.0,0.0,2.0,1.0,10.0,27.0,25.0
locego,1,1.0,11.0,0.0,2.0,55.0,56.0,30.0,7.0,5.0,27.0,0.0,12.0,0.0,2.0,82.0,16.0,69.0,11.0,11.0,0.0
shone02,1,94.0,96.0,94.0,1.0,0.0,7.0,0.0,53.0,62.0,53.0,4.0,35.0,8.0,61.0,19.0,8.0,44.0,16.0,0.0,21.0
antoniosba94,1,10.0,59.0,11.0,287.0,0.0,22.0,32.0,16.0,0.0,0.0,0.0,120.0,0.0,0.0,27.0,48.0,0.0,0.0,226.0,33.0
luis2015,0,27.0,11.0,140.0,16.0,14.0,205.0,20.0,46.0,0.0,0.0,0.0,170.0,1.0,0.0,0.0,65.0,0.0,0.0,2.0,30.0
denfelix,1,28.0,41.0,8.0,0.0,82.0,43.0,0.0,23.0,26.0,11.0,0.0,209.0,213.0,15.0,6.0,0.0,199.0,0.0,8.0,31.0
ricioh,1,9.0,10.0,75.0,7.0,96.0,41.0,0.0,21.0,48.0,38.0,3.0,111.0,88.0,61.0,2.0,51.0,0.0,0.0,0.0,0.0
max3d,0,163.0,76.0,4.0,42.0,106.0,141.0,36.0,8.0,0.0,0.0,33.0,147.0,0.0,147.0,49.0,0.0,8.0,0.0,0.0,500.0
chess_advicer,1,0.0,140.0,350.0,185.0,96.0,0.0,187.0,20.0,204.0,130.0,0.0,0.0,103.0,500.0,0.0,3.0,4.0,201.0,21.0,30.0
marcojebus,0,0.0,232.0,0.0,251.0,14.0,12.0,150.0,0.0,39.0,0.0,7.0,19.0,29.0,60.0,51.0,480.0,300.0,58.0,0.0,0.0
defman,0,101.0,4.0,55.0,9.0,57.0,0.0,27.0,0.0,0.0,26.0,30.0,18.0,0.0,0.0,0.0,24.0,39.0,246.0,0.0,0.0
lawyer7,0,8.0,0.0,63.0,0.0,4.0,12.0,0.0,308.0,467.0,219.0,0.0,17.0,134.0,500.0,500.0,106.0,44.0,43.0,89.0,75.0
enricmx,0,5.0,87.0,0.0,0.0,16.0,106.0,77.0,0.0,15.0,3.0,6.0,0.0,78.0,81.0,1.0,0.0,385.0,427.0,176.0,0.0
bogdan545,0,14.0,48.0,0.0,1.0,0.0,99.0,71.0,12.0,72.0,38.0,59.0,94.0,0.0,26.0,0.0,56.0,43.0,0.0,134.0,0.0
tacticspro,1,18.0,6.0,0.0,3.0,14.0,0.0,20.0,85.0,93.0,0.0,26.0,222.0,39.0,31.0,13.0,63.0,0.0,0.0,0.0,0.0
ventshirov,1,0.0,2.0,49.0,21.0,43.0,5.0,222.0,291.0,9.0,76.0,0.0,8.0,26.0,58.0,154.0,0.0,0.0,0.0,36.0,21.0
chesscoach,0,0.0,0.0,63.0,0.0,0.0,27.0,8.0,2.0,10.0,0.0,0.0,55.0,91.0,132.0,71.0,0.0,12.0,40.0,49.0,9.0
marlguatz,0,38.0,31.0,0.0,90.0,46.0,0.0,155.0,0.0,6.0,0.0,51.0,0.0,0.0,0.0,59.0,129.0,0.0,43.0,2.0,0.0
leparrain2016,0,237.0,0.0,0.0,32.0,0.0,0.0,68.0,99.0,4.0,11.0,0.0,0.0,32.0,21.0,10.0,44.0,47.0,24.0,60.0,23.0
arqcolacrai,0,43.0,48.0,94.0,209.0,80.0,114.0,0.0,0.0,15.0,46.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,50.0
smd8,1,25.0,0.0,8.0,67.0,73.0,93.0,0.0,17.0,34.0,140.0,339.0,102.0,0.0,52.0,0.0,252.0,255.0,0.0,106.0,0.0
ensnaredhag,1,14.0,123.0,0.0,20.0,111.0,236.0,0.0,24.0,18.0,23.0,13.0,42.0,32.0,35.0,79.0,148.0,119.0,25.0,0.0,36.0
aznyuu,0,84.0,21.0,173.0,65.0,25.0,22.0,21.0,30.0,17.0,33.0,24.0,8.0,82.0,29.0,0.0,12.0,17.0,73.0,500.0,500.0
sr_raposo,0,9.0,45.0,174.0,0.0,142.0,20.0,0.0,265.0,6.0,23.0,17.0,78.0,500.0,16.0,63.0,140.0,0.0,153.0,9.0,75.0
alexreznik,0,61.0,133.0,0.0,12.0,16.0,6.0,55.0,76.0,62.0,347.0,105.0,19.0,0.0,0.0,0.0,141.0,146.0,270.0,22.0,500.0
ssakash,0,22.0,3.0,102.0,32.0,15.0,0.0,0.0,24.0,87.0,402.0,0.0,70.0,258.0,34.0,0.0,53.0,30.0,0.0,0.0,39.0
fars9909,0,5.0,8.0,39.0,18.0,0.0,36.0,0.0,0.0,119.0,189.0,10.0,102.0,26.0,0.0,16.0,7.0,21.0,0.0,16.0,0.0
linail,0,0.0,4.0,48.0,0.0,25.0,0.0,20.0,0.0,0.0,6.0,18.0,13.0,5.0,16.0,102.0,0.0,500.0,1.0,358.0,2.0
belc,0,0.0,278.0,129.0,3.0,0.0,55.0,47.0,6.0,56.0,26.0,16.0,10.0,7.0,0.0,5.0,68.0,10.0,7.0,0.0,0.0
powerfu-iran,0,2.0,5.0,71.0,35.0,65.0,4.0,32.0,56.0,20.0,0.0,17.0,18.0,192.0,92.0,9.0,0.0,0.0,5.0,60.0,125.0
trek1900,0,0.0,51.0,11.0,39.0,0.0,44.0,27.0,11.0,0.0,6.0,500.0,303.0,17.0,1.0,0.0,4.0,32.0,9.0,0.0,11.0
bingo_bongo,0,0.0,112.0,40.0,123.0,57.0,83.0,278.0,17.0,6.0,64.0,0.0,24.0,115.0,418.0,0.0,7.0,382.0,3.0,14.0,45.0
zhu4ok69,1,0.0,0.0,11.0,3.0,2.0,0.0,0.0,27.0,3.0,38.0,0.0,0.0,0.0,124.0,0.0,5.0,68.0,6.0,136.0,21.0
ssakash,0,82.0,0.0,10.0,74.0,8.0,44.0,13.0,0.0,0.0,0.0,97.0,16.0,75.0,0.0,108.0,0.0,25.0,0.0,0.0,95.0
